Females,25–34,urgent,316489,3.48
Females,15–24,urgent,256526,2.82
Females,35–44,urgent,246982,2.72
Females,25–34,semi_urgent,236534,2.6
Males,5–14,semi_urgent,219570,2.42
Males,0–4,urgent,216869,2.39
Females,15–24,semi_urgent,216753,2.39
Females,75–84,urgent,201130,2.21
Males,15–24,semi_urgent,198944,2.19
Males,25–34,semi_urgent,195519,2.15
Females,45–54,urgent,194049,2.14
Males,75–84,urgent,190291,2.09
Males,25–34,urgent,188544,2.07
Males,35–44,urgent,187035,2.06
Males,65–74,urgent,187498,2.06
Females,35–44,semi_urgent,186201,2.05
Females,65–74,urgent,185066,2.04
Males,55–64,urgent,183426,2.02
Females,55–64,urgent,180990,1.99
Females,5–14,semi_urgent,180742,1.99
